id,province_id,district_id,sub_district_id,INQUIRE_NO,INQUIRE_ID,HH_CATS,latitude,longitude,FCS,CSI,HFIAS,HH_SIZE,HOH_EDU,HOH_AGE,HOH_GENDER,DEPEND_RATIO,GROUPS_MEMBER,WELFARE_TOTAL,WORKFORCE_TOTAL,EXPENSE_MONTHLY,DEBT_TOTAL,INCOME_MONTHLY,ASSETS_LAND,ASSETS_TOTAL,WATER_CROP,CHEM_TOTAL,DISASTER_OCC,FOODSRC_NATURAL,WATER_CONSUME,SANITATION_TYPE,COVID_AFFECTS,FOODSRC_BUY,FOODSAF_RATIO,SELF_COOK_DAYS,COOK_DONE_DAY,FOOD_STOCKS,FOODSRC_DIST,fcs_score,hfias_score,hfias_d1,hfias_d2,hfias_d3
41,62,6211,621101,62-010,10,0,16.668236,099.314767,2,7,3,1,3,59,2,0,2,2,1,4000,100000,7500,1,0,0,0,1,2,1,2,0,2,0.4583,0,7,1,0.50,57,3,1,1,1
42,62,6211,621101,62-011,11,0,16.660592,099.321787,2,6,1,3,1,87,2,1,2,3,0,5200,0,18967,1,4,1,0,1,1,1,2,4,1,0.5000,5,7,1,4.00,58,0,0,0,0
43,52,5201,520106,52-091,91,0,18.264518,099.460124,2,11,1,2,3,53,2,0,1,1,2,15850,0,4000,1,5,0,0,1,0,0,3,1,1,0.5833,0,7,3,2.00,84,0,0,0,0
44,62,6211,621101,62-012,12,0,16.640821,099.345333,2,1,3,3,3,49,1,0,3,4,3,11900,200000,15833,2,7,1,2,1,1,1,2,0,2,0.4583,3,7,1,0.50,56,3,1,0,1
45,62,6211,621101,62-013,13,0,16.669118,099.314299,2,0,1,2,5,45,2,0,0,3,2,12700,100000,5000,1,5,0,0,1,1,1,2,1,1,0.5833,5,7,1,2.00,66,0,0,0,0
46,62,6211,621101,62-014,14,0,16.641313,099.345004,2,4,1,3,7,41,1,0,1,2,3,15900,100000,18000,1,5,1,0,1,0,0,2,0,2,0.6250,0,7,1,0.30,58,0,0,0,0
47,52,5201,520106,52-092,92,0,18.963543,099.460180,2,15,1,5,3,60,1,1,5,2,0,8699,150000,5350,1,5,0,0,1,0,0,3,1,1,0.6250,0,7,1,3.00,84,0,0,0,0
48,62,6211,621101,62-015,15,0,16.645352,099.339656,2,8,1,3,7,47,2,0,1,3,3,10700,50000,10667,1,4,0,0,1,0,2,2,0,2,0.4583,2,5,1,0.30,51,1,1,0,0
49,52,5201,520106,52-093,93,0,18.263543,099.460180,2,8,1,2,3,72,2,1,1,1,0,8200,20000,958,1,4,0,0,1,0,0,3,0,1,0.6667,0,7,2,2.00,84,0,0,0,0
50,52,5202,520204,52-141,141,0,18.302734,099.701397,2,35,1,3,7,35,1,0,1,1,3,45500,50000,26333,1,5,0,0,1,0,1,2,1,1,0.5000,5,5,3,10.00,100,0,0,0,0
